,Date,Home Score,Home Team,Line,Line ,Visitor,Visitor Score
0,09/01/1978,7.0,Temple,-24.5,,Penn State,10.0
1,09/02/1978,21.0,Tulsa,1.0,,Arkansas State,20.0
2,09/02/1978,6.0,Western Carolina, ,,East Carolina,14.0
3,09/02/1978,30.0,Northern Michigan, ,,Eastern Michigan,3.0
4,09/02/1978,20.0,Alabama,11.5,,Nebraska,3.0
5,09/02/1978,7.0,Richmond, ,,Southern Miss,10.0
6,09/02/1978,25.0,Drake, ,,Texas-Arlington,23.0
7,09/02/1978,49.0,North Texas, ,,UTEP,0.0
8,09/02/1978,28.0,Mississippi State,12.0,,West Texas A+M,0.0
9,09/03/1978,0.0,Idaho State, ,,Utah State,10.0
10,09/09/1978,25.0,UTEP, ,,Air Force,34.0
11,09/09/1978,35.0,Villanova, ,,Bowling Green,28.0
12,09/09/1978,6.0,Oregon State,-5.0,,Brigham Young,10.0
13,09/09/1978,36.0,Nebraska,10.0,,California,26.0
14,09/09/1978,15.0,Western Kentucky, ,,Chattanooga,42.0
15,09/09/1978,29.0,No Carolina State, ,,East Carolina,13.0
16,09/09/1978,23.0,Ohio, ,,Eastern Michigan,22.0
17,09/09/1978,21.0,McNeese State, ,,Fresno State,16.0
18,09/09/1978,0.0,Syracuse,-1.5,,Florida State,28.0
19,09/09/1978,42.0,Boise State, ,,Fullerton State,12.0
20,09/09/1978,45.0,South Carolina, ,,Furman,10.0
21,09/09/1978,28.0,Duke,-2.0,,Georgia Tech,10.0
22,09/09/1978,19.0,Rice,-19.0,,Iowa State,23.0
23,09/09/1978,31.0,San Jose State, ,,Idaho,14.0
24,09/09/1978,56.0,Utah, ,,Idaho State,0.0
25,09/09/1978,27.0,Western Michigan, ,,Illinois State,17.0
26,09/09/1978,41.0,Central Michigan, ,,Kent State,0.0
27,09/09/1978,31.0,Arizona,10.5,,Kansas State,0.0
28,09/09/1978,21.0,Northwestern St(LA), ,,Lamar,17.0
29,09/09/1978,0.0,UL-Lafayette, ,,Long Beach State,10.0
30,09/09/1978,0.0,Toledo, ,,Marshall,17.0
31,09/09/1978,14.0,Mississippi,10.5,,Memphis,7.0
32,09/09/1978,38.0,Ball State, ,,Miami-Ohio,14.0
33,09/09/1978,0.0,Notre Dame,17.0,,Missouri,3.0
34,09/09/1978,5.0,North Texas,4.0,,Mississippi State,17.0
35,09/09/1978,19.0,Holy Cross, ,,New Hampshire,14.0
36,09/09/1978,3.0,UL-Monroe, ,,Nicholls State,0.0
37,09/09/1978,22.0,Hawaii, ,,New Mexico,16.0
38,09/09/1978,9.0,Indiana State, ,,New Mexico State,14.0
39,09/09/1978,0.0,Illinois,11.0,,Northwestern,0.0
40,09/09/1978,29.0,Stanford,-13.5,,Oklahoma,35.0
41,09/09/1978,20.0,Wichita State,-10.5,,Oklahoma State,10.0
42,09/09/1978,24.0,Colorado,20.5,,Oregon,7.0
43,09/09/1978,42.0,Arizona State, ,,Pacific,7.0
44,09/09/1978,28.0,The Citadel, ,,Presbyterian,17.0
45,09/09/1978,14.0,West Virginia,11.0,,Richmond,12.0
46,09/09/1978,26.0,Penn State,21.0,,Rutgers,10.0
47,09/09/1978,54.0,Louisville, ,,South Dakota State,7.0
48,09/09/1978,38.0,Drake, ,,Southern Illinois,14.0
49,09/09/1978,6.0,Arkansas State, ,,Southern Miss,21.0
50,09/09/1978,45.0,S-M-U,12.0,,Texas Christian,14.0
51,09/09/1978,20.0,Western Carolina, ,,Tennessee Tech,22.0
52,09/09/1978,17.0,Southern Cal,18.0,,Texas Tech,9.0
53,09/09/1978,31.0,Maryland,12.0,,Tulane,7.0
54,09/09/1978,33.0,Virginia Tech,16.0,,Tulsa,35.0
55,09/09/1978,10.0,Kansas,-12.0,,Texas A+M,37.0
56,09/09/1978,7.0,Washington,-1.0,,U.C.L.A.,10.0
57,09/09/1978,34.0,Washington State, ,,Nevada-Las Vegas,7.0
58,09/09/1978,14.0,Wake Forest,2.0,,Virginia,0.0
59,09/09/1978,10.0,William + Mary, ,,Virginia Military,3.0
60,09/09/1978,35.0,Appalachian State, ,,Wofford,14.0
61,09/09/1978,10.0,Texas-Arlington, ,,West Texas A+M,18.0
62,09/16/1978,7.0,Boston College,18.0,,Air Force,18.0
63,09/16/1978,21.0,UL-Monroe, ,,Arkansas State,13.0
64,09/16/1978,20.0,Missouri,-12.0,,Alabama,38.0
65,09/16/1978,7.0,Marshall, ,,Appalachian State,28.0
66,09/16/1978,32.0,Kansas State,-9.5,,Auburn,45.0
67,09/16/1978,16.0,Georgia,-2.0,,Baylor,14.0
68,09/16/1978,6.0,Eastern Michigan, ,,Bowling Green,43.0
69,09/16/1978,25.0,Virginia Military, ,,Bucknell,14.0
70,09/16/1978,24.0,Arizona State,6.0,,Brigham Young,17.0
71,09/16/1978,22.0,Georgia Tech,-2.0,,California,34.0
72,09/16/1978,31.0,Furman, ,,Carson-Newman,14.0
73,09/16/1978,14.0,Pacific, ,,UC-Davis,31.0
74,09/16/1978,7.0,Louisiana Tech, ,,Chattanooga,12.0
75,09/16/1978,58.0,Clemson, ,,The Citadel,3.0
76,09/16/1978,18.0,Miami-Ohio, ,,Central Michigan,37.0
77,09/16/1978,14.0,North Carolina, ,,East Carolina,10.0
78,09/16/1978,14.0,Weber State, ,,Fresno State,55.0
79,09/16/1978,56.0,Nebraska, ,,Hawaii,10.0
80,09/16/1978,14.0,Colgate,9.0,,Holy Cross,27.0
81,09/16/1978,17.0,Memphis,-7.5,,Houston,3.0
82,09/16/1978,28.0,Washington State, ,,Idaho,0.0
83,09/16/1978,31.0,Michigan,25.0,,Illinois,0.0
84,09/16/1978,24.0,Louisiana State,13.5,,Indiana,17.0
85,09/16/1978,31.0,Washington,18.5,,Kansas,2.0
86,09/16/1978,27.0,Ball State, ,,Kent State,3.0
87,09/16/1978,14.0,South Carolina,-5.0,,Kentucky,14.0
88,09/16/1978,24.0,Army, ,,Lafayette,14.0
89,09/16/1978,19.0,Boise State, ,,Long Beach State,13.0
90,09/16/1978,13.0,West Texas A+M, ,,McNeese State,45.0
91,09/16/1978,21.0,Purdue,-3.0,,Michigan State,14.0
92,09/16/1978,17.0,Louisville,-7.0,,Maryland,24.0
93,09/16/1978,17.0,Colorado,13.5,,Miami-Florida,7.0
94,09/16/1978,0.0,Virginia,-7.0,,Navy,32.0
95,09/16/1978,14.0,Nevada-Las Vegas, ,,Nevada-Reno,23.0
96,09/16/1978,14.0,Wichita State, ,,New Mexico,16.0
97,09/16/1978,14.0,Stephen F Austin, ,,Northwestern St(LA),21.0
98,09/16/1978,20.0,Iowa,14.0,,Northwestern,3.0
99,09/16/1978,38.0,Florida State,14.0,,Oklahoma State,20.0
100,09/16/1978,21.0,Arizona,12.0,,Oregon State,7.0
101,09/16/1978,0.0,Ohio State,6.0,,Penn State,19.0
102,09/16/1978,6.0,Tulane,-11.5,,Pittsburgh,24.0
103,09/16/1978,7.0,Wisconsin,13.0,,Richmond,6.0
104,09/16/1978,10.0,Oregon,-19.0,,Southern Cal,37.0
105,09/16/1978,35.0,Fullerton State, ,,Santa Clara,20.0
106,09/16/1978,30.0,Wyoming, ,,South Dakota,11.0
107,09/16/1978,14.0,Iowa State,12.0,,San Diego State,13.0
108,09/16/1978,20.0,Lamar, ,,Southern Illinois,22.0
109,09/16/1978,38.0,Stanford,14.5,,San Jose State,9.0
110,09/16/1978,26.0,Cincinnati, ,,Southern Miss,14.0
111,09/16/1978,25.0,Florida,4.0,,S-M-U,35.0
112,09/16/1978,10.0,Tulsa, ,,UL-Lafayette,3.0
113,09/16/1978,27.0,No Carolina State,13.0,,Syracuse,19.0
114,09/16/1978,28.0,North Texas, ,,Texas-Arlington,23.0
115,09/16/1978,29.0,Drake, ,,Temple,36.0
116,09/16/1978,0.0,Rice,-27.0,,Texas,34.0
117,09/16/1978,38.0,Minnesota, ,,Toledo,12.0
118,09/16/1978,0.0,Tennessee,-6.5,,U.C.L.A.,13.0
119,09/16/1978,35.0,New Mexico State, ,,UTEP,32.0
120,09/16/1978,20.0,Colorado State, ,,Utah State,21.0
121,09/16/1978,48.0,Arkansas,25.0,,Vanderbilt,17.0
122,09/16/1978,21.0,Massachusetts, ,,Villanova,25.0
123,09/16/1978,6.0,Wake Forest,-4.5,,Virginia Tech,28.0
124,09/16/1978,21.0,East Tennessee St, ,,Western Carolina,14.0
125,09/16/1978,31.0,Indiana State, ,,Western Illinois,20.0
126,09/16/1978,6.0,Illinois State, ,,Western Kentucky,28.0
127,09/16/1978,30.0,Northern Illinois, ,,Western Michigan,44.0
128,09/16/1978,3.0,Connecticut, ,,William + Mary,27.0
129,09/16/1978,52.0,Oklahoma,32.0,,West Virginia,10.0
130,09/23/1978,41.0,Texas Tech,-3.0,,Arizona,26.0
131,09/23/1978,7.0,Oklahoma State,-18.5,,Arkansas,19.0
132,09/23/1978,7.0,Virginia Tech,-1.0,,Auburn,18.0
133,09/23/1978,20.0,Lamar, ,,Stephen F Austin,18.0
134,09/23/1978,51.0,Washington State,0.0,,Arizona State,26.0
135,09/23/1978,25.0,Kentucky,7.5,,Baylor,21.0
136,09/23/1978,23.0,Marshall, ,,Chattanooga,27.0
137,09/23/1978,12.0,Georgia,-5.0,,Clemson,0.0
138,09/23/1978,24.0,Alcorn State, ,,Central Michigan,16.0
