,Bowl Name,Date,Home Score,Home Team,Line,Visitor,Visitor Score
0,Garden State Bowl,12/16/1978,18,Rutgers,-11.0,Arizona State,34
1,Independence Bowl,12/16/1978,13,Louisiana Tech, ,East Carolina,35
2,Hall of Fame Bowl,12/20/1978,28,Texas A+M,6.5,Iowa State,12
3,Holiday Bowl,12/22/1978,23,Navy,5.5,Brigham Young,16
4,Liberty Bowl,12/23/1978,20,Missouri,7.0,Louisiana State,15
5,Sun Bowl,12/23/1978,42,Texas,6.5,Maryland,0
6,Tangerine Bowl,12/23/1978,17,Pittsburgh,5.5,No Carolina State,30
7,Fiesta Bowl,12/25/1978,10,U.C.L.A.,-7.5,Arkansas,10
8,Peach Bowl,12/25/1978,21,Georgia Tech,-6.0,Purdue,41
9,Gator Bowl,12/29/1978,15,Ohio State,-2.0,Clemson,17
10,Bluebonnet Bowl,12/31/1978,25,Stanford,7.5,Georgia,22
11,Sugar Bowl,01/01/1979,7,Penn State,-1.0,Alabama,14
12,Cotton Bowl,01/01/1979,35,Notre Dame,3.5,Houston,34
13,Rose Bowl,01/01/1979,17,Southern Cal,5.5,Michigan,10
14,Orange Bowl,01/01/1979,31,Oklahoma,11.0,Nebraska,24
15,Garden State Bowl,12/15/1979,28,Temple,2.0,California,17
16,Independence Bowl,12/15/1979,31,Syracuse,2.0,McNeese State,7
17,Holiday Bowl,12/21/1979,38,Indiana,-8.0,Brigham Young,37
18,Tangerine Bowl,12/22/1979,10,Wake Forest,-6.5,Louisiana State,34
19,Liberty Bowl,12/22/1979,6,Tulane,-2.0,Penn State,9
20,Sun Bowl,12/22/1979,14,Washington,-6.5,Texas,7
21,Fiesta Bowl,12/25/1979,16,Pittsburgh,9.5,Arizona,10
22,Gator Bowl,12/28/1979,17,North Carolina,-6.5,Michigan,15
23,Hall of Fame Bowl,12/29/1979,14,South Carolina,-2.0,Missouri,24
24,Peach Bowl,12/31/1979,18,Clemson,4.0,Baylor,24
25,Bluebonnet Bowl,12/31/1979,22,Tennessee,-6.5,Purdue,27
26,Sugar Bowl,01/01/1980,9,Arkansas,-6.5,Alabama,24
27,Orange Bowl,01/01/1980,24,Oklahoma,8.0,Florida State,7
28,Cotton Bowl,01/01/1980,14,Nebraska,3.5,Houston,17
29,Rose Bowl,01/01/1980,17,Southern Cal,7.5,Ohio State,16
30,Independence Bowl,12/13/1980,16,Southern Miss, ,McNeese State,14
31,Garden State Bowl,12/14/1980,0,Navy,-5.0,Houston,35
32,Holiday Bowl,12/19/1980,45,S-M-U,0.0,Brigham Young,46
33,Tangerine Bowl,12/20/1980,20,Maryland,1.0,Florida,35
34,Fiesta Bowl,12/26/1980,31,Penn State,0.0,Ohio State,19
35,Hall of Fame Bowl,12/27/1980,15,Tulane,-3.0,Arkansas,34
36,Liberty Bowl,12/27/1980,28,Purdue,4.0,Missouri,25
37,Sun Bowl,12/27/1980,31,Nebraska,14.0,Mississippi State,17
38,Gator Bowl,12/29/1980,9,South Carolina,-10.0,Pittsburgh,37
39,Bluebonnet Bowl,12/31/1980,7,Texas,-1.0,North Carolina,16
40,Cotton Bowl,01/01/1981,2,Baylor,-3.0,Alabama,30
41,Orange Bowl,01/01/1981,18,Oklahoma,6.0,Florida State,17
42,Sugar Bowl,01/01/1981,10,Notre Dame,2.0,Georgia,17
43,Rose Bowl,01/01/1981,6,Washington,-9.0,Michigan,23
44,Peach Bowl,01/02/1981,10,Virginia Tech,-8.0,Miami-Florida,20
45,Independence Bowl,12/12/1981,33,Texas A+M,3.5,Oklahoma State,16
46,Garden State Bowl,12/13/1981,21,Wisconsin,7.0,Tennessee,28
47,Holiday Bowl,12/18/1981,36,Washington State,-3.0,Brigham Young,38
48,Tangerine Bowl,12/19/1981,17,Southern Miss,3.0,Missouri,19
49,California Bowl,12/19/1981,27,Toledo, ,San Jose State,25
50,Sun Bowl,12/26/1981,40,Oklahoma,2.0,Houston,14
51,Gator Bowl,12/28/1981,31,North Carolina,4.0,Arkansas,27
52,Liberty Bowl,12/30/1981,31,Ohio State,11.0,Navy,28
53,Peach Bowl,12/31/1981,26,West Virginia,-7.0,Florida,6
54,Hall of Fame Bowl,12/31/1981,10,Mississippi State,6.5,Kansas,0
55,Bluebonnet Bowl,12/31/1981,14,U.C.L.A.,-3.0,Michigan,33
56,Cotton Bowl,01/01/1982,14,Texas,-1.5,Alabama,12
57,Orange Bowl,01/01/1982,15,Nebraska,5.0,Clemson,22
58,Sugar Bowl,01/01/1982,24,Pittsburgh,2.0,Georgia,20
59,Rose Bowl,01/01/1982,28,Washington,-3.0,Iowa,0
60,Fiesta Bowl,01/01/1982,10,Southern Cal,3.0,Penn State,26
61,Independence Bowl,12/11/1982,14,Wisconsin,1.0,Kansas State,3
62,Holiday Bowl,12/17/1982,47,Ohio State,6.0,Brigham Young,17
63,Tangerine Bowl,12/18/1982,26,Boston College,-6.0,Auburn,33
64,California Bowl,12/18/1982,29,Fresno State, ,Bowling Green,28
65,Aloha Bowl,12/25/1982,21,Washington,1.0,Maryland,20
66,Sun Bowl,12/25/1982,10,Texas,6.0,North Carolina,26
67,Liberty Bowl,12/29/1982,15,Illinois,-5.5,Alabama,21
68,Gator Bowl,12/30/1982,12,West Virginia,-3.0,Florida State,31
69,Hall of Fame Bowl,12/31/1982,28,Vanderbilt,8.0,Air Force,36
70,Bluebonnet Bowl,12/31/1982,24,Florida,-2.0,Arkansas,28
71,Peach Bowl,12/31/1982,22,Tennessee,1.0,Iowa,28
72,Sugar Bowl,01/01/1983,27,Penn State,4.0,Georgia,23
73,Orange Bowl,01/01/1983,21,Nebraska,7.0,Louisiana State,20
74,Rose Bowl,01/01/1983,24,U.C.L.A.,3.0,Michigan,14
75,Fiesta Bowl,01/01/1983,32,Arizona State,1.0,Oklahoma,21
76,Cotton Bowl,01/01/1983,7,S-M-U,0.0,Pittsburgh,3
77,Independence Bowl,12/10/1983,3,Mississippi,-3.5,Air Force,9
78,Citrus Bowl,12/17/1983,30,Tennessee,-3.5,Maryland,23
79,California Bowl,12/17/1983,13,Fullerton State, ,Northern Illinois,20
80,Hall of Fame Bowl,12/22/1983,20,West Virginia,10.5,Kentucky,16
81,Holiday Bowl,12/23/1983,17,Missouri,-2.5,Brigham Young,21
82,Sun Bowl,12/24/1983,7,S-M-U,4.0,Alabama,28
83,Aloha Bowl,12/26/1983,10,Washington,-1.5,Penn State,13
84,Liberty Bowl,12/29/1983,19,Notre Dame,-2.0,Boston College,18
85,Gator Bowl,12/30/1983,6,Iowa,-3.5,Florida,14
86,Peach Bowl,12/30/1983,3,North Carolina,-3.0,Florida State,28
87,Bluebonnet Bowl,12/31/1983,24,Oklahoma State,1.0,Baylor,14
88,Sugar Bowl,01/02/1984,7,Michigan,-4.0,Auburn,9
89,Cotton Bowl,01/02/1984,9,Texas,7.5,Georgia,10
90,Rose Bowl,01/02/1984,45,U.C.L.A.,-4.0,Illinois,9
91,Orange Bowl,01/02/1984,31,Miami-Florida,-10.5,Nebraska,30
92,Fiesta Bowl,01/02/1984,23,Pittsburgh,-2.5,Ohio State,28
93,Independence Bowl,12/15/1984,7,Virginia Tech,3.0,Air Force,23
94,California Bowl,12/15/1984,13,Toledo, ,Nevada-Las Vegas,30
95,Holiday Bowl,12/21/1984,17,Michigan,-6.5,Brigham Young,24
96,Cherry Bowl,12/22/1984,6,Michigan State,4.0,Army,10
97,Citrus Bowl,12/22/1984,17,Georgia,-4.0,Florida State,17
98,Sun Bowl,12/22/1984,27,Tennessee,-7.0,Maryland,28
99,Freedom Bowl,12/26/1984,17,Texas,-1.5,Iowa,55
100,Liberty Bowl,12/27/1984,21,Auburn,3.5,Arkansas,15
101,Gator Bowl,12/28/1984,14,South Carolina,-1.0,Oklahoma State,21
102,Hall of Fame Bowl,12/29/1984,19,Wisconsin,3.0,Kentucky,20
103,Aloha Bowl,12/29/1984,27,S-M-U,-1.0,Notre Dame,20
104,Peach Bowl,12/31/1984,27,Virginia,2.5,Purdue,24
105,Bluebonnet Bowl,12/31/1984,31,West Virginia,-2.0,Texas Christian,14
106,Cotton Bowl,01/01/1985,28,Houston,-7.0,Boston College,45
107,Sugar Bowl,01/01/1985,28,Nebraska,7.5,Louisiana State,10
108,Fiesta Bowl,01/01/1985,39,U.C.L.A.,-6.0,Miami-Florida,37
109,Rose Bowl,01/01/1985,20,Southern Cal,-3.5,Ohio State,17
110,Orange Bowl,01/01/1985,28,Washington,-5.0,Oklahoma,17
111,California Bowl,12/14/1985,51,Fresno State,-1.5,Bowling Green,7
112,Independence Bowl,12/21/1985,20,Minnesota,-4.0,Clemson,13
113,Cherry Bowl,12/21/1985,18,Syracuse,-7.5,Maryland,35
114,Holiday Bowl,12/22/1985,18,Arkansas,1.5,Arizona State,17
115,Liberty Bowl,12/27/1985,7,Louisiana State,0.0,Baylor,21
116,Aloha Bowl,12/28/1985,3,Southern Cal,-5.5,Alabama,24
117,Sun Bowl,12/28/1985,13,Georgia,5.5,Arizona,13
118,Citrus Bowl,12/28/1985,10,Ohio State,-1.0,Brigham Young,7
119,Freedom Bowl,12/30/1985,20,Washington,4.0,Colorado,17
120,Gator Bowl,12/30/1985,23,Oklahoma State,-7.0,Florida State,34
121,Bluebonnet Bowl,12/31/1985,16,Texas,-6.0,Air Force,24
122,Peach Bowl,12/31/1985,29,Illinois,6.5,Army,31
123,Hall of Fame Bowl,12/31/1985,14,Michigan State,-1.0,Georgia Tech,17
124,Cotton Bowl,01/01/1986,36,Texas A+M,-2.0,Auburn,16
125,Rose Bowl,01/01/1986,45,U.C.L.A.,-3.0,Iowa,28
126,Sugar Bowl,01/01/1986,35,Tennessee,-8.0,Miami-Florida,7
127,Fiesta Bowl,01/01/1986,23,Nebraska,-3.0,Michigan,27
128,Orange Bowl,01/01/1986,10,Penn State,-7.5,Oklahoma,25
129,California Bowl,12/13/1986,37,San Jose State,8.0,Miami-Ohio,7
130,Independence Bowl,12/20/1986,17,Texas Tech,-4.0,Mississippi,20
131,Hall of Fame Bowl,12/23/1986,24,Georgia,2.5,Boston College,27
132,Sun Bowl,12/25/1986,6,Washington,-2.0,Alabama,28
133,Aloha Bowl,12/27/1986,21,North Carolina,-9.0,Arizona,30
134,Gator Bowl,12/27/1986,21,Stanford,-3.5,Clemson,27
135,Liberty Bowl,12/29/1986,21,Tennessee,5.5,Minnesota,14
136,Freedom Bowl,12/30/1986,31,U.C.L.A.,14.5,Brigham Young,10
137,Holiday Bowl,12/30/1986,38,San Diego State,-7.5,Iowa,39
138,Bluebonnet Bowl,12/31/1986,9,Colorado,-5.5,Baylor,21
139,All-American Bowl,12/31/1986,13,Indiana,-14.0,Florida State,27
140,Peach Bowl,12/31/1986,25,Virginia Tech,-2.0,No Carolina State,24
141,Orange Bowl,01/01/1987,42,Oklahoma,17.0,Arkansas,8
142,Citrus Bowl,01/01/1987,7,Southern Cal,-8.0,Auburn,16
143,Rose Bowl,01/01/1987,15,Michigan,2.5,Arizona State,22
144,Sugar Bowl,01/01/1987,30,Nebraska,4.5,Louisiana State,15
145,Cotton Bowl,01/01/1987,12,Texas A+M,2.5,Ohio State,28
146,Fiesta Bowl,01/02/1987,14,Penn State,-6.5,Miami-Florida,10
147,California Bowl,12/12/1987,27,San Jose State, ,Eastern Michigan,30
148,Independence Bowl,12/19/1987,24,Washington,6.0,Tulane,12
149,All-American Bowl,12/22/1987,22,Virginia,-1.0,Brigham Young,16
150,Aloha Bowl,12/25/1987,20,U.C.L.A.,8.5,Florida,16
151,Sun Bowl,12/25/1987,33,West Virginia,0.0,Oklahoma State,35
152,Liberty Bowl,12/29/1987,20,Georgia,7.0,Arkansas,17
153,Freedom Bowl,12/30/1987,33,Arizona State,6.5,Air Force,28
154,Holiday Bowl,12/30/1987,19,Wyoming,-4.0,Iowa,20
155,Gator Bowl,12/31/1987,13,South Carolina,3.5,Louisiana State,30
156,Bluebonnet Bowl,12/31/1987,32,Texas,-4.0,Pittsburgh,27
157,Sugar Bowl,01/01/1988,16,Syracuse,-2.5,Auburn,16
158,Citrus Bowl,01/01/1988,10,Penn State,-2.0,Clemson,35
159,Fiesta Bowl,01/01/1988,28,Nebraska,-3.5,Florida State,31
160,Rose Bowl,01/01/1988,17,Southern Cal,3.0,Michigan State,20
161,Cotton Bowl,01/01/1988,35,Texas A+M,-5.5,Notre Dame,10
162,Orange Bowl,01/01/1988,20,Miami-Florida,-3.0,Oklahoma,14
163,Hall of Fame Bowl,01/02/1988,28,Michigan,-1.0,Alabama,24
164,Peach Bowl,01/02/1988,27,Tennessee,6.5,Indiana,22
165,California Bowl,12/10/1988,35,Fresno State, ,Western Michigan,30
166,Independence Bowl,12/23/1988,18,UTEP,1.0,Southern Miss,38
167,Sun Bowl,12/24/1988,28,Army,-14.0,Alabama,29
168,Aloha Bowl,12/25/1988,24,Washington State,-4.5,Houston,22
169,Liberty Bowl,12/28/1988,10,South Carolina,-3.0,Indiana,34
170,Freedom Bowl,12/29/1988,17,Colorado,3.0,Brigham Young,20
171,All-American Bowl,12/29/1988,10,Illinois,-5.5,Florida,14
172,Holiday Bowl,12/30/1988,14,Wyoming,-2.5,Oklahoma State,62
173,Peach Bowl,12/31/1988,28,No Carolina State,1.0,Iowa,23
