,Date,Visitor,Visitor Score,Home Team,Home Score,Line
0,09/01/1978,Penn State,10.0,Temple,7.0,-24.5
1,09/02/1978,Arkansas State,20.0,Tulsa,21.0,1.0
2,09/02/1978,East Carolina,14.0,Western Carolina,6.0, 
3,09/02/1978,Eastern Michigan,3.0,Northern Michigan,30.0, 
4,09/02/1978,Nebraska,3.0,Alabama,20.0,11.5
5,09/02/1978,Southern Miss,10.0,Richmond,7.0, 
6,09/02/1978,Texas-Arlington,23.0,Drake,25.0, 
7,09/02/1978,UTEP,0.0,North Texas,49.0, 
8,09/02/1978,West Texas A+M,0.0,Mississippi State,28.0,12.0
9,09/03/1978,Utah State,10.0,Idaho State,0.0, 
10,09/09/1978,Air Force,34.0,UTEP,25.0, 
11,09/09/1978,Bowling Green,28.0,Villanova,35.0, 
12,09/09/1978,Brigham Young,10.0,Oregon State,6.0,-5.0
13,09/09/1978,California,26.0,Nebraska,36.0,10.0
14,09/09/1978,Chattanooga,42.0,Western Kentucky,15.0, 
15,09/09/1978,East Carolina,13.0,No Carolina State,29.0, 
16,09/09/1978,Eastern Michigan,22.0,Ohio,23.0, 
17,09/09/1978,Fresno State,16.0,McNeese State,21.0, 
18,09/09/1978,Florida State,28.0,Syracuse,0.0,-1.5
19,09/09/1978,Fullerton State,12.0,Boise State,42.0, 
20,09/09/1978,Furman,10.0,South Carolina,45.0, 
21,09/09/1978,Georgia Tech,10.0,Duke,28.0,-2.0
22,09/09/1978,Iowa State,23.0,Rice,19.0,-19.0
23,09/09/1978,Idaho,14.0,San Jose State,31.0, 
24,09/09/1978,Idaho State,0.0,Utah,56.0, 
25,09/09/1978,Illinois State,17.0,Western Michigan,27.0, 
26,09/09/1978,Kent State,0.0,Central Michigan,41.0, 
27,09/09/1978,Kansas State,0.0,Arizona,31.0,10.5
28,09/09/1978,Lamar,17.0,Northwestern St(LA),21.0, 
29,09/09/1978,Long Beach State,10.0,UL-Lafayette,0.0, 
30,09/09/1978,Marshall,17.0,Toledo,0.0, 
31,09/09/1978,Memphis,7.0,Mississippi,14.0,10.5
32,09/09/1978,Miami-Ohio,14.0,Ball State,38.0, 
33,09/09/1978,Missouri,3.0,Notre Dame,0.0,17.0
34,09/09/1978,Mississippi State,17.0,North Texas,5.0,4.0
35,09/09/1978,New Hampshire,14.0,Holy Cross,19.0, 
36,09/09/1978,Nicholls State,0.0,UL-Monroe,3.0, 
37,09/09/1978,New Mexico,16.0,Hawaii,22.0, 
38,09/09/1978,New Mexico State,14.0,Indiana State,9.0, 
39,09/09/1978,Northwestern,0.0,Illinois,0.0,11.0
40,09/09/1978,Oklahoma,35.0,Stanford,29.0,-13.5
41,09/09/1978,Oklahoma State,10.0,Wichita State,20.0,-10.5
42,09/09/1978,Oregon,7.0,Colorado,24.0,20.5
43,09/09/1978,Pacific,7.0,Arizona State,42.0, 
44,09/09/1978,Presbyterian,17.0,The Citadel,28.0, 
45,09/09/1978,Richmond,12.0,West Virginia,14.0,11.0
46,09/09/1978,Rutgers,10.0,Penn State,26.0,21.0
47,09/09/1978,South Dakota State,7.0,Louisville,54.0, 
48,09/09/1978,Southern Illinois,14.0,Drake,38.0, 
49,09/09/1978,Southern Miss,21.0,Arkansas State,6.0, 
50,09/09/1978,Texas Christian,14.0,S-M-U,45.0,12.0
51,09/09/1978,Tennessee Tech,22.0,Western Carolina,20.0, 
52,09/09/1978,Texas Tech,9.0,Southern Cal,17.0,18.0
53,09/09/1978,Tulane,7.0,Maryland,31.0,12.0
54,09/09/1978,Tulsa,35.0,Virginia Tech,33.0,16.0
55,09/09/1978,Texas A+M,37.0,Kansas,10.0,-12.0
56,09/09/1978,U.C.L.A.,10.0,Washington,7.0,-1.0
57,09/09/1978,Nevada-Las Vegas,7.0,Washington State,34.0, 
58,09/09/1978,Virginia,0.0,Wake Forest,14.0,2.0
59,09/09/1978,Virginia Military,3.0,William + Mary,10.0, 
60,09/09/1978,Wofford,14.0,Appalachian State,35.0, 
61,09/09/1978,West Texas A+M,18.0,Texas-Arlington,10.0, 
62,09/16/1978,Air Force,18.0,Boston College,7.0,18.0
63,09/16/1978,Arkansas State,13.0,UL-Monroe,21.0, 
64,09/16/1978,Alabama,38.0,Missouri,20.0,-12.0
65,09/16/1978,Appalachian State,28.0,Marshall,7.0, 
66,09/16/1978,Auburn,45.0,Kansas State,32.0,-9.5
67,09/16/1978,Baylor,14.0,Georgia,16.0,-2.0
68,09/16/1978,Bowling Green,43.0,Eastern Michigan,6.0, 
69,09/16/1978,Bucknell,14.0,Virginia Military,25.0, 
70,09/16/1978,Brigham Young,17.0,Arizona State,24.0,6.0
71,09/16/1978,California,34.0,Georgia Tech,22.0,-2.0
72,09/16/1978,Carson-Newman,14.0,Furman,31.0, 
73,09/16/1978,UC-Davis,31.0,Pacific,14.0, 
74,09/16/1978,Chattanooga,12.0,Louisiana Tech,7.0, 
75,09/16/1978,The Citadel,3.0,Clemson,58.0, 
76,09/16/1978,Central Michigan,37.0,Miami-Ohio,18.0, 
77,09/16/1978,East Carolina,10.0,North Carolina,14.0, 
78,09/16/1978,Fresno State,55.0,Weber State,14.0, 
79,09/16/1978,Hawaii,10.0,Nebraska,56.0, 
80,09/16/1978,Holy Cross,27.0,Colgate,14.0,9.0
81,09/16/1978,Houston,3.0,Memphis,17.0,-7.5
82,09/16/1978,Idaho,0.0,Washington State,28.0, 
83,09/16/1978,Illinois,0.0,Michigan,31.0,25.0
84,09/16/1978,Indiana,17.0,Louisiana State,24.0,13.5
85,09/16/1978,Kansas,2.0,Washington,31.0,18.5
86,09/16/1978,Kent State,3.0,Ball State,27.0, 
87,09/16/1978,Kentucky,14.0,South Carolina,14.0,-5.0
88,09/16/1978,Lafayette,14.0,Army,24.0, 
89,09/16/1978,Long Beach State,13.0,Boise State,19.0, 
90,09/16/1978,McNeese State,45.0,West Texas A+M,13.0, 
91,09/16/1978,Michigan State,14.0,Purdue,21.0,-3.0
92,09/16/1978,Maryland,24.0,Louisville,17.0,-7.0
93,09/16/1978,Miami-Florida,7.0,Colorado,17.0,13.5
94,09/16/1978,Navy,32.0,Virginia,0.0,-7.0
95,09/16/1978,Nevada-Reno,23.0,Nevada-Las Vegas,14.0, 
96,09/16/1978,New Mexico,16.0,Wichita State,14.0, 
97,09/16/1978,Northwestern St(LA),21.0,Stephen F Austin,14.0, 
98,09/16/1978,Northwestern,3.0,Iowa,20.0,14.0
99,09/16/1978,Oklahoma State,20.0,Florida State,38.0,14.0
100,09/16/1978,Oregon State,7.0,Arizona,21.0,12.0
101,09/16/1978,Penn State,19.0,Ohio State,0.0,6.0
