Date,Visitor,Visitor Score,Home Team,Home Score,Line,Win,Delta
1978-09-16,Northwestern,3,Iowa,20,14,1,17
1978-09-23,Iowa State,31,Iowa,0,-2.5,0,-31
1978-10-07,Utah,13,Iowa,9, ,0,-4
1978-10-28,Purdue,34,Iowa,7,-10.5,0,-27
1978-11-04,Michigan,34,Iowa,0,-27,0,-34
1978-11-18,Wisconsin,24,Iowa,38,-4,1,14
1979-09-08,Indiana,30,Iowa,26,-2.5,0,-4
1979-09-22,Nebraska,24,Iowa,21,-18,0,-3
1979-09-29,Iowa State,14,Iowa,30,-5.5,1,16
1979-10-20,Minnesota,24,Iowa,7,2.5,0,-17
1979-11-03,Purdue,20,Iowa,14,-6,0,-6
1979-11-17,Michigan State,23,Iowa,33,-1,1,10
1980-09-27,Iowa State,10,Iowa,7,4,0,-3
1980-10-04,Arizona,5,Iowa,3,6,0,-2
1980-10-11,Illinois,20,Iowa,14,8,0,-6
1980-10-18,Northwestern,3,Iowa,25,27,1,22
1980-11-01,Wisconsin,13,Iowa,22,4,1,9
1980-11-15,Ohio State,41,Iowa,7,-22,0,-34
1981-09-12,Nebraska,7,Iowa,10,-16,1,3
1981-09-26,U.C.L.A.,7,Iowa,20,-10,1,13
1981-10-10,Indiana,28,Iowa,42,13.5,1,14
1981-10-24,Minnesota,12,Iowa,10,12,0,-2
1981-11-07,Purdue,7,Iowa,33,3,1,26
1981-11-21,Michigan State,7,Iowa,36,7,1,29
1982-09-18,Iowa State,19,Iowa,7,-1,0,-12
1982-10-02,Northwestern,7,Iowa,45,24,1,38
1982-10-16,Michigan,29,Iowa,7,-7,0,-22
1982-10-30,Illinois,13,Iowa,14,-2,1,1
1982-11-13,Wisconsin,14,Iowa,28,3,1,14
1983-09-24,Ohio State,14,Iowa,20,-3,1,6
1983-10-08,Northwestern,21,Iowa,61,34,1,40
1983-10-15,Purdue,14,Iowa,31,17.5,1,17
1983-10-29,Indiana,3,Iowa,49,23,1,46
1983-11-19,Minnesota,10,Iowa,61,34,1,51
1984-09-08,Iowa State,21,Iowa,59,24,1,38
1984-09-15,Penn State,20,Iowa,17,7,0,-3
1984-09-29,Illinois,16,Iowa,21,5,1,5
1984-10-20,Michigan,0,Iowa,26,8,1,26
1984-11-03,Wisconsin,10,Iowa,10,12.5,0,0
1984-11-10,Michigan State,17,Iowa,16,12,0,-1
1985-09-14,Drake,0,Iowa,58, ,1,58
1985-09-21,Northern Illinois,20,Iowa,48, ,1,28
1985-10-05,Michigan State,31,Iowa,35,16,1,4
1985-10-19,Michigan,10,Iowa,12,-3,1,2
1985-11-09,Illinois,0,Iowa,59,7,1,59
1985-11-23,Minnesota,9,Iowa,31,18,1,22
1986-09-13,Iowa State,7,Iowa,43,16.5,1,36
1986-09-20,Northern Illinois,3,Iowa,57, ,1,54
1986-09-27,UTEP,7,Iowa,69,32,1,62
1986-10-11,Wisconsin,6,Iowa,17,24,1,11
