,Date,Visitor,Visitor Score,Home Team,Home Score,Line,Win,Delta
98,1978-09-16,Northwestern,3.0,Iowa,20.0,14.0,1,17.0
151,1978-09-23,Iowa State,31.0,Iowa,0.0,-2.5,0,-31.0
333,1978-10-07,Utah,13.0,Iowa,9.0, ,0,-4.0
529,1978-10-28,Purdue,34.0,Iowa,7.0,-10.5,0,-27.0
579,1978-11-04,Michigan,34.0,Iowa,0.0,-27.0,0,-34.0
746,1978-11-18,Wisconsin,24.0,Iowa,38.0,-4.0,1,14.0
827,1979-09-08,Indiana,30.0,Iowa,26.0,-2.5,0,-4.0
973,1979-09-22,Nebraska,24.0,Iowa,21.0,-18.0,0,-3.0
1026,1979-09-29,Iowa State,14.0,Iowa,30.0,-5.5,1,16.0
1256,1979-10-20,Minnesota,24.0,Iowa,7.0,2.5,0,-17.0
1408,1979-11-03,Purdue,20.0,Iowa,14.0,-6.0,0,-6.0
1532,1979-11-17,Michigan State,23.0,Iowa,33.0,-1.0,1,10.0
1810,1980-09-27,Iowa State,10.0,Iowa,7.0,4.0,0,-3.0
1865,1980-10-04,Arizona,5.0,Iowa,3.0,6.0,0,-2.0
1947,1980-10-11,Illinois,20.0,Iowa,14.0,8.0,0,-6.0
2039,1980-10-18,Northwestern,3.0,Iowa,25.0,27.0,1,22.0
2196,1980-11-01,Wisconsin,13.0,Iowa,22.0,4.0,1,9.0
2305,1980-11-15,Ohio State,41.0,Iowa,7.0,-22.0,0,-34.0
2483,1981-09-12,Nebraska,7.0,Iowa,10.0,-16.0,1,3.0
2642,1981-09-26,U.C.L.A.,7.0,Iowa,20.0,-10.0,1,13.0
2741,1981-10-10,Indiana,28.0,Iowa,42.0,13.5,1,14.0
2881,1981-10-24,Minnesota,12.0,Iowa,10.0,12.0,0,-2.0
3031,1981-11-07,Purdue,7.0,Iowa,33.0,3.0,1,26.0
3142,1981-11-21,Michigan State,7.0,Iowa,36.0,7.0,1,29.0
3305,1982-09-18,Iowa State,19.0,Iowa,7.0,-1.0,0,-12.0
3437,1982-10-02,Northwestern,7.0,Iowa,45.0,24.0,1,38.0
3541,1982-10-16,Michigan,29.0,Iowa,7.0,-7.0,0,-22.0
3645,1982-10-30,Illinois,13.0,Iowa,14.0,-2.0,1,1.0
3796,1982-11-13,Wisconsin,14.0,Iowa,28.0,3.0,1,14.0
4062,1983-09-24,Ohio State,14.0,Iowa,20.0,-3.0,1,6.0
4179,1983-10-08,Northwestern,21.0,Iowa,61.0,34.0,1,40.0
4240,1983-10-15,Purdue,14.0,Iowa,31.0,17.5,1,17.0
4328,1983-10-29,Indiana,3.0,Iowa,49.0,23.0,1,46.0
4502,1983-11-19,Minnesota,10.0,Iowa,61.0,34.0,1,51.0
4592,1984-09-08,Iowa State,21.0,Iowa,59.0,24.0,1,38.0
4663,1984-09-15,Penn State,20.0,Iowa,17.0,7.0,0,-3.0
4758,1984-09-29,Illinois,16.0,Iowa,21.0,5.0,1,5.0
4932,1984-10-20,Michigan,0.0,Iowa,26.0,8.0,1,26.0
5069,1984-11-03,Wisconsin,10.0,Iowa,10.0,12.5,0,0.0
5090,1984-11-10,Michigan State,17.0,Iowa,16.0,12.0,0,-1.0
5274,1985-09-14,Drake,0.0,Iowa,58.0, ,1,58.0
5351,1985-09-21,Northern Illinois,20.0,Iowa,48.0, ,1,28.0
5452,1985-10-05,Michigan State,31.0,Iowa,35.0,16.0,1,4.0
5558,1985-10-19,Michigan,10.0,Iowa,12.0,-3.0,1,2.0
5715,1985-11-09,Illinois,0.0,Iowa,59.0,7.0,1,59.0
5822,1985-11-23,Minnesota,9.0,Iowa,31.0,18.0,1,22.0
5927,1986-09-13,Iowa State,7.0,Iowa,43.0,16.5,1,36.0
5998,1986-09-20,Northern Illinois,3.0,Iowa,57.0, ,1,54.0
6063,1986-09-27,UTEP,7.0,Iowa,69.0,32.0,1,62.0
6172,1986-10-11,Wisconsin,6.0,Iowa,17.0,24.0,1,11.0
6255,1986-10-25,Northwestern,20.0,Iowa,27.0,32.0,1,7.0
6301,1986-11-01,Ohio State,31.0,Iowa,10.0,3.5,0,-21.0
6405,1986-11-15,Purdue,14.0,Iowa,42.0,24.5,1,28.0
6648,1987-09-26,Kansas State,13.0,Iowa,38.0,42.0,1,25.0
6699,1987-10-03,Michigan State,19.0,Iowa,14.0,9.8,0,-5.0
6867,1987-10-24,Purdue,14.0,Iowa,38.0,17.0,1,24.0
6894,1987-10-31,Indiana,21.0,Iowa,29.0,6.5,1,8.0
7055,1987-11-21,Minnesota,20.0,Iowa,34.0,15.5,1,14.0
7203,1988-09-17,Colorado,24.0,Iowa,21.0,5.5,0,-3.0
7256,1988-09-24,Iowa State,3.0,Iowa,10.0,24.0,1,7.0
7394,1988-10-08,Wisconsin,6.0,Iowa,31.0,22.0,1,25.0
7423,1988-10-15,Michigan,17.0,Iowa,17.0,-6.5,0,0.0
7574,1988-11-05,Northwestern,10.0,Iowa,35.0,29.0,1,25.0
7624,1988-11-12,Ohio State,24.0,Iowa,24.0,10.5,0,0.0
7829,1989-09-16,Oregon,44.0,Iowa,6.0,3.0,0,-38.0
7939,1989-09-30,Tulsa,22.0,Iowa,30.0,9.0,1,8.0
7964,1989-10-07,Michigan State,17.0,Iowa,14.0,-5.0,0,-3.0
8065,1989-10-21,Michigan,26.0,Iowa,12.0,-11.0,0,-14.0
8163,1989-11-04,Illinois,31.0,Iowa,7.0,-4.0,0,-24.0
8309,1989-11-25,Minnesota,43.0,Iowa,7.0,10.5,0,-36.0
8424,1990-09-15,Cincinnati,10.0,Iowa,63.0,37.0,1,53.0
8484,1990-09-22,Iowa State,35.0,Iowa,45.0,14.0,1,10.0
8671,1990-10-13,Wisconsin,10.0,Iowa,30.0,19.0,1,20.0
8754,1990-10-27,Northwestern,14.0,Iowa,56.0,23.5,1,42.0
8853,1990-11-10,Ohio State,27.0,Iowa,26.0,5.5,0,-1.0
8913,1990-11-17,Purdue,9.0,Iowa,38.0,26.0,1,29.0
8998,1991-09-07,Hawaii,10.0,Iowa,53.0,15.0,1,43.0
9161,1991-09-28,Northern Illinois,7.0,Iowa,58.0, ,1,51.0
9204,1991-10-05,Michigan,43.0,Iowa,24.0,0.0,0,-19.0
9293,1991-10-19,Illinois,21.0,Iowa,24.0,6.0,1,3.0
9447,1991-11-09,Indiana,21.0,Iowa,38.0,5.0,1,17.0
9545,1991-11-23,Minnesota,8.0,Iowa,23.0,26.0,1,15.0
9647,1992-09-12,Iowa State,7.0,Iowa,21.0,16.0,1,14.0
9869,1992-10-10,Wisconsin,22.0,Iowa,23.0,9.0,1,1.0
9953,1992-10-24,Purdue,27.0,Iowa,16.0,12.5,0,-11.0
9996,1992-10-31,Ohio State,38.0,Iowa,15.0,-3.0,0,-23.0
10086,1992-11-14,Northwestern,14.0,Iowa,56.0,14.0,1,42.0
10209,1993-09-04,Tulsa,25.0,Iowa,26.0,11.5,1,1.0
10304,1993-09-18,Penn State,31.0,Iowa,0.0,-5.0,0,-31.0
10473,1993-10-16,Illinois,49.0,Iowa,3.0,1.0,0,-46.0
10580,1993-10-30,Purdue,17.0,Iowa,26.0,6.0,1,9.0
10621,1993-11-06,Northern Illinois,20.0,Iowa,54.0, ,1,34.0
10708,1993-11-20,Minnesota,3.0,Iowa,21.0,6.5,1,18.0
10769,1994-09-03,Central Michigan,21.0,Iowa,52.0, ,1,31.0
10824,1994-09-10,Iowa State,9.0,Iowa,37.0,10.5,1,28.0
10979,1994-10-01,Michigan,29.0,Iowa,14.0,-18.5,0,-15.0
11022,1994-10-08,Indiana,27.0,Iowa,20.0,3.5,0,-7.0
11122,1994-10-22,Michigan State,14.0,Iowa,19.0,-11.0,1,5.0
11279,1994-11-12,Northwestern,13.0,Iowa,49.0,5.5,1,36.0
11455,1995-09-09,Northern Iowa,13.0,Iowa,34.0, ,1,21.0
